dataset,strategy,seed,c_calc,achieved_c,abs_deviation,time_seconds
ISAP_corpus,classic,11,0.200000,0.194286,0.005714,0.359840
ISAP_corpus,classic,22,0.200000,0.177143,0.022857,0.343094
ISAP_corpus,classic,33,0.200000,0.174286,0.025714,0.338287
ISAP_corpus,classic,44,0.200000,0.192857,0.007143,0.331607
ISAP_corpus,classic,55,0.200000,0.201429,0.001429,0.401121
ISAP_corpus,mvc,11,0.200000,0.117143,0.082857,0.129733
ISAP_corpus,mvc,22,0.200000,0.117143,0.082857,0.132939
ISAP_corpus,mvc,33,0.200000,0.117143,0.082857,0.135418
ISAP_corpus,mvc,44,0.200000,0.117143,0.082857,0.124998
ISAP_corpus,mvc,55,0.200000,0.117143,0.082857,0.127139
job_offers_pl_corpus,classic,11,0.200000,0.199803,0.000197,8.875515
job_offers_pl_corpus,classic,22,0.200000,0.198722,0.001278,8.606925
job_offers_pl_corpus,classic,33,0.200000,0.197921,0.002079,8.563644
job_offers_pl_corpus,classic,44,0.200000,0.198954,0.001046,8.336285
job_offers_pl_corpus,classic,55,0.200000,0.198729,0.001271,8.485606
job_offers_pl_corpus,mvc,11,0.200000,0.166093,0.033907,1.260342
job_offers_pl_corpus,mvc,22,0.200000,0.166093,0.033907,1.280633
job_offers_pl_corpus,mvc,33,0.200000,0.166093,0.033907,1.298197
job_offers_pl_corpus,mvc,44,0.200000,0.166093,0.033907,1.324954
job_offers_pl_corpus,mvc,55,0.200000,0.166093,0.033907,1.307592
open_subtitles_corpus,classic,11,0.200000,0.195532,0.004468,0.310736
open_subtitles_corpus,classic,22,0.200000,0.199525,0.000475,0.285971
open_subtitles_corpus,classic,33,0.200000,0.197243,0.002757,0.278369
open_subtitles_corpus,classic,44,0.200000,0.197148,0.002852,0.271668
open_subtitles_corpus,classic,55,0.200000,0.200158,0.000158,0.295658
open_subtitles_corpus,mvc,11,0.200000,0.176961,0.023039,0.072378
open_subtitles_corpus,mvc,22,0.200000,0.176961,0.023039,0.081800
open_subtitles_corpus,mvc,33,0.200000,0.176961,0.023039,0.079497
open_subtitles_corpus,mvc,44,0.200000,0.176961,0.023039,0.083342
open_subtitles_corpus,mvc,55,0.200000,0.176961,0.023039,0.074492
plwiki,classic,11,0.200000,0.200790,0.000790,15.928809
plwiki,classic,22,0.200000,0.199425,0.000575,32.080168
plwiki,classic,33,0.200000,0.199292,0.000708,40.193172
plwiki,classic,44,0.200000,0.200884,0.000884,41.320894
plwiki,classic,55,0.200000,0.200106,0.000106,24.045484
plwiki,mvc,11,0.200000,0.088452,0.111548,2.480342
plwiki,mvc,22,0.200000,0.088452,0.111548,2.253762
plwiki,mvc,33,0.200000,0.088452,0.111548,2.179447
plwiki,mvc,44,0.200000,0.088452,0.111548,2.165608
plwiki,mvc,55,0.200000,0.088452,0.111548,2.186526
ulotki_medyczne,classic,11,0.200000,0.189456,0.010544,0.059532
ulotki_medyczne,classic,22,0.200000,0.179572,0.020428,0.046270
ulotki_medyczne,classic,33,0.200000,0.181219,0.018781,0.052480
ulotki_medyczne,classic,44,0.200000,0.197694,0.002306,0.051847
ulotki_medyczne,classic,55,0.200000,0.187809,0.012191,0.073918
ulotki_medyczne,mvc,11,0.200000,0.074135,0.125865,0.017158
ulotki_medyczne,mvc,22,0.200000,0.074135,0.125865,0.016720
ulotki_medyczne,mvc,33,0.200000,0.074135,0.125865,0.016956
ulotki_medyczne,mvc,44,0.200000,0.074135,0.125865,0.017465
ulotki_medyczne,mvc,55,0.200000,0.074135,0.125865,0.020007
wolne_lektury_corpus,classic,11,0.200000,0.196002,0.003998,0.033679
wolne_lektury_corpus,classic,22,0.200000,0.192090,0.007910,0.044397
wolne_lektury_corpus,classic,33,0.200000,0.196871,0.003129,0.034798
wolne_lektury_corpus,classic,44,0.200000,0.209474,0.009474,0.033683
wolne_lektury_corpus,classic,55,0.200000,0.205997,0.005997,0.036406
wolne_lektury_corpus,mvc,11,0.200000,0.178618,0.021382,0.014205
wolne_lektury_corpus,mvc,22,0.200000,0.178618,0.021382,0.012831
wolne_lektury_corpus,mvc,33,0.200000,0.178618,0.021382,0.013556
wolne_lektury_corpus,mvc,44,0.200000,0.178618,0.021382,0.012832
wolne_lektury_corpus,mvc,55,0.200000,0.178618,0.021382,0.019070
