dataset,strategy,achieved_c_mean,achieved_c_std,abs_deviation_mean,abs_deviation_std,time_seconds_mean,time_seconds_std
ISAP_corpus,classic,0.188000,0.011720,0.012571,0.010945,0.354790,0.027922
ISAP_corpus,mvc,0.117143,0.000000,0.082857,0.000000,0.130045,0.004221
job_offers_pl_corpus,classic,0.198826,0.000673,0.001174,0.000673,8.573595,0.197752
job_offers_pl_corpus,mvc,0.166093,0.000000,0.033907,0.000000,1.294344,0.024857
open_subtitles_corpus,classic,0.197921,0.001894,0.002142,0.001803,0.288480,0.015314
open_subtitles_corpus,mvc,0.176961,0.000000,0.023039,0.000000,0.078302,0.004708
plwiki,classic,0.200099,0.000742,0.000613,0.000305,30.713705,10.808541
plwiki,mvc,0.088452,0.000000,0.111548,0.000000,2.253137,0.131483
ulotki_medyczne,classic,0.187150,0.007238,0.012850,0.007238,0.056809,0.010660
ulotki_medyczne,mvc,0.074135,0.000000,0.125865,0.000000,0.017661,0.001340
wolne_lektury_corpus,classic,0.200087,0.007315,0.006102,0.002642,0.036592,0.004503
wolne_lektury_corpus,mvc,0.178618,0.000000,0.021382,0.000000,0.014499,0.002619
